Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Attnang-Puchheim	At	91	3.b		Oberösterreich
Atzenbrugg	Tfd H2	1387	3.d		Niederösterreich
Aurachkirchen	Ak	34	3.d		Oberösterreich
Aurolzmünster	Rd  H2M	1826	3.d		Oberösterreich
Ausschlag-Zöbern	Auz	99	3.d		Niederösterreich
Bad Aussee	Au	97	3.d		Steiermark
Bad Blumau	Seb H3	1975	3.d		Steiermark
Bad Deutsch Altenburg	Bde	143	3.d		Niederösterreich
Bad Erlach	Ela	359	3.d		Niederösterreich
Bad Fischau	Fwa H1	442	3.d		Niederösterreich
Bad Fischau-Brunn	Fib	440	3.d		Niederösterreich
Bad Gastein	Bag	121	3.c		Salzburg
Bad Goisern	Stg H1	666	3.d		Oberösterreich
Bad Hofgastein	Hg	826	3.c		Salzburg
Bad Ischl	Il	940	3.d		Oberösterreich
Bad Mitterndorf	Bam	127	3.d		Steiermark
Bad Mitterndorf-Heilbrunn	Bam H1	128	3.d		Steiermark
Bad Radkersburg	Ra	1805	3.d		Steiermark
Bad Ried	Rd  H1M	1825	3.d		Oberösterreich
Bad Sauerbrunn	Sau	1939	3.d		Burgenland
Bad Schallerbach-Wallern	Wa	2365	3.c		Oberösterreich
Bad Schwanberg	Dlb H2	2175	3.d		Steiermark
Bad Vigaun	Hl  H2A	843	3.c		Salzburg
Bad Vöslau	Bvs	253	3.c		Niederösterreich
Bad Waltersdorf	Seb H1	1973	3.d		Steiermark
Baden	Bf  H1	149	3.c		Niederösterreich
Bärnbach	Vob K3	131	3.d		Steiermark
Baumgartenberg	Bb	130	3.d		Oberösterreich
Berg im Drautal	De  H1	273	3.d		Kärnten
Bergern	Otg H1	1644	3.d		Oberösterreich
Berndorf Fabrik	Tf	2214	3.d		Niederösterreich
Berndorf Stadt	Tf  H1	2215	3.d		Niederösterreich
Bernhardsthal	Beh	145	3.d		Niederösterreich
Bichlbach-Almkopfbahn	Bch H1H	1262120	3.d		Tirol
Bichlbach-Berwang	Bch	139	3.d		Tirol
Bierbaum	Bib	170	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Steiermark
Bisamberg	F   H3S	960	3.d		Niederösterreich
Bischofshofen	Bo	199	3.c		Salzburg
Bleiburg/Pliberk	Ble	173	3.c		Kärnten
Bleiburg Stadt/Pliberk mesto	Blg	388	3.d		Kärnten
Blindenmarkt	Kar H2	177	3.c		Niederösterreich
Bludenz	B	116	3.c		Vorarlberg
Böckstein	Bs	235	3.d	nur Verkehre der Autoschleuse Tauernbahn	Salzburg
Böheimkirchen	Bh	163	3.c		Niederösterreich
Böhlerwerk a.d.Ybbs	Hk  H3	1889	3.d		Niederösterreich
Braunau am Inn	Bru	231	3.c		Oberösterreich
Bregenz	Bg	154	3.b		Vorarlberg
Bregenz Hafen	Bg  H1	155	3.d		Vorarlberg
Breitenbrunn	Pur H1H	224	3.d		Burgenland
Breiteneich bei Horn	Sh  H1H	2010	3.d		Niederösterreich
Breitenschützing	Bre	214	3.d		Oberösterreich
Breitensee N.Ö.	Sfl H1	1996	3.d		Niederösterreich
Breitenstein	Bt	248	3.d		Niederösterreich
Breitenwaida	Gr  H1	680	3.d		Niederösterreich
Brixen im Thale	Kit H1	1049	3.d		Tirol
Brixlegg	Bri	217	3.c		Tirol
Bruck a.d.Leitha	Bl	172	3.c		Niederösterreich
Bruck a.d.Mur	Bm	188	3.b		Steiermark
Bruck-Fusch	Brf	215	3.c		Salzburg
